Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Terrence Jones,HOU,11,1.5,$2489530.0,0.03571428571428572,$3221014.71
Jason Terry,HOU,72,7,1.5,$1499187.0,0.03571428571428572,$3221014.71
Marcus Thornton,HOU,6,1.3,$1186000.0,0.03095238095238096,$2791546.09
Corey Brewer,HOU,82,12,1.2,$8200000.0,0.028571428571428574,$2576811.77
Michael Beasley,HOU,0,1.0,$306527.0,0.023809523809523815,$2147343.14
Montrezl Harrell,HOU,1,0.9,$1000000.0,0.021428571428571432,$1932608.83
Ty Lawson,HOU,12,0.4,$12404495.0,0.009523809523809526,$858937.26
Donatas Motiejunas,HOU,22,0.3,$2288205.0,0.0071428571428571435,$644202.94
K.J. McDaniels,HOU,1,0.2,$3333333.0,0.004761904761904763,$429468.63
Sam Dekker,HOU,0,0.0,$1646400.0,0.0,$0.0
Andrew Goudelock,HOU,0,0.0,$200600.0,0.0,$0.0
Chuck Hayes,HOU,0,0.0,$83583.0,0.0,$0.0
Josh Smith,HOU,6,-0.4,$1499000.0,-0.009523809523809526,$-858937.26
Paul George,IND,81,81,9.2,$17120106.0,0.19870410367170627,$14045615.76
George Hill,IND,74,73,6.2,$8000000.0,0.13390928725701945,$9465523.66
Ian Mahinmi,IND,71,71,6.2,$4000000.0,0.13390928725701945,$9465523.66
Monta Ellis,IND,81,81,4.3,$10300000.0,0.09287257019438445,$6564798.67
Jordan Hill,IND,73,11,3.9,$4000000.0,0.08423326133909288,$5954119.72
Lavoy Allen,IND,79,28,3.7,$3700000.0,0.0799136069114471,$5648780.25
C.J. Miles,IND,64,24,3.1,$4394225.0,0.06695464362850972,$4732761.83
Myles Turner,IND,60,30,3.1,$2357760.0,0.06695464362850972,$4732761.83
Solomon Hill,IND,59,3,2.1,$1358880.0,0.04535637149028078,$3206064.47
Rodney Stuckey,IND,58,1,2.0,$6500000.0,0.04319654427645789,$3053394.73
Chase Budinger,IND,2,1.3,$5000000.0,0.028077753779697626,$1984706.57
Glenn Robinson,IND,4,0.8,$845000.0,0.017278617710583154,$1221357.89
Ty Lawson,IND,1,0.5,$265058.0,0.010799136069114472,$763348.68
Rakeem Christmas,IND,0,0.0,$1000000.0,0.0,$0.0
Shayne Whittington,IND,0,0.0,$845059.0,0.0,$0.0
