Rk,Player,From,To,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS,salary,WS%,expected_salary,salary_diff
13,Mike Miller,,,DEN,NBA,47,2,373,22,62,3,10,19,52,0,0,6,47,53,40,13,4,17,53,63,.355,.300,.365,.508,,.508,0.3,$1499187.0,0.00892857142857143,$503875.88,$-995311.13
14,Axel Toupane,,,DEN,NBA,21,0,305,25,70,12,30,13,40,13,17,8,23,31,15,7,6,6,40,76,.357,.400,.325,.450,.765,.490,0.3,$61776.0,0.00892857142857143,$503875.88,$442099.88
15,Sean Kilpatrick,,,DEN,NBA,8,0,82,8,21,4,4,4,17,7,8,2,4,6,3,2,0,4,7,27,.381,1.000,.235,.476,.875,.551,0.1,$99418.0,0.002976190476190477,$167958.63,$68540.63
17,Erick Green,,,DEN,NBA,3,0,7,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,.000,,.000,.000,,.000,0.0,$100000.0,0.0,$0.0,$-100000.0
18,Kostas Papanikolaou,,,DEN,NBA,26,6,294,24,66,14,34,10,32,9,14,8,32,40,16,13,5,21,24,67,.364,.412,.313,.439,.643,.464,-0.1,$350000.0,-0.002976190476190477,$-167958.63,$-517958.63
19,Emmanuel Mudiay,,,DEN,NBA,68,66,2068,329,905,255,673,74,232,140,209,32,200,232,372,65,35,217,141,872,.364,.379,.319,.404,.670,.437,-2.1,$3102240.0,-0.06250000000000001,$-3527131.13,$-6629371.13
1,Andre Drummond,,,DET,NBA,81,81,2666,552,1060,550,1054,2,6,208,586,395,803,1198,67,119,112,155,245,1314,.521,.522,.333,.522,.355,.499,7.4,$3272091.0,0.18877551020408162,$12679727.46,$9407636.46
2,Reggie Jackson,,,DET,NBA,79,79,2424,540,1244,422,910,118,334,291,337,58,195,253,492,59,11,223,187,1489,.434,.464,.353,.482,.864,.535,6.9,$14000000.0,0.1760204081632653,$11822989.12,$-2177010.88
3,Marcus Morris,,,DET,NBA,80,80,2856,410,945,302,647,108,298,203,271,91,313,404,201,67,23,140,170,1131,.434,.467,.362,.491,.749,.531,5.4,$5000000.0,0.1377551020408163,$9252774.09,$4252774.09
4,Kentavious Caldwell-Pope,,,DET,NBA,76,76,2789,403,960,289,591,114,369,185,228,70,212,282,138,110,17,105,167,1105,.420,.489,.309,.479,.811,.521,5.3,$2891760.0,0.13520408163265304,$9081426.42,$6189666.42
5,Aron Baynes,,,DET,NBA,81,1,1233,194,384,194,382,0,2,126,165,140,244,384,51,21,52,67,151,514,.505,.508,.000,.505,.764,.563,4.1,$6500000.0,0.10459183673469385,$7025254.4,$525254.4
6,Tobias Harris,,,DET,NBA,27,25,903,166,348,133,260,33,88,82,90,25,143,168,70,18,12,30,62,447,.477,.512,.375,.524,.911,.577,3.3,$16000000.0,0.08418367346938774,$5654473.06,$-10345526.94
8,Anthony Tolliver,,,DET,NBA,72,5,1341,128,332,30,60,98,272,29,47,39,190,229,52,26,16,28,86,383,.386,.500,.360,.533,.617,.543,2.8,$3000000.0,0.07142857142857142,$4797734.71,$1797734.71
9,Reggie Bullock,,,DET,NBA,37,0,429,43,98,21,45,22,53,14,15,14,54,68,27,10,2,8,29,122,.439,.467,.415,.551,.933,.583,1.2,$1252440.0,0.03061224489795918,$2056172.02,$803732.02
10,Steve Blake,,,DET,NBA,58,2,986,93,240,41,89,52,151,16,20,9,80,89,200,24,5,81,70,254,.388,.461,.344,.496,.800,.510,1.1,$2170465.0,0.02806122448979592,$1884824.35,$-285640.65
12,Stanley Johnson,,,DET,NBA,73,6,1687,225,600,162,395,63,205,80,102,58,248,306,118,55,12,114,178,593,.375,.410,.307,.428,.784,.460,0.6,$2841960.0,0.01530612244897959,$1028086.01,$-1813873.99
